BIKE_ID;BIKE_TIPE;USER_ID;CHECK_IN_TIME;CHECK_IN_STATION_ID;CHECK_IN_STATION_NAME;CHECK_IN_SLOT_ID;CHECK_OUT_TIME;CHECK_OUT_STATION_ID;CHECK_OUT_STATION_NAME;CHECK_OUT_SLOT_ID;DURATION;TOTAL_DISTANCE;AVOIDED_CO2;CONSUMED_CALORIES
20283;Bike;34956;01/01/19 06:52;187;Sarpi Albertini;7;01/01/19 07:05;25;Centrale 1;10;0:13:25;3408.92;0.6913;65.66
30131;Child Seat eBike;355600;01/01/19 07:01;302;De Angeli - Ripamonti;9;01/01/19 07:10;23;Regina Margherita;14;0:09:18;1813.18;0.3677;34.93
21911;Bike;236069;01/01/19 07:05;222;Durante - D'aviano;22;01/01/19 07:30;110;S. F. Romana;30;0:24:35;2025.83;0.4108;39.02
10863;eBike;348357;01/01/19 07:06;257;Valtellina - Aprica;13;01/01/19 08:12;262;Livigno - Monte San Genesio;15;1:06:22;887.54;0.1800;17.10
2781;Bike;147224;01/01/19 07:07;154;Ascanio Sforza - Pavia;6;01/01/19 08:10;64;Diaz;36;1:02:46;2104.10;0.4267;40.53
20347;Bike;321606;01/01/19 07:20;383;Angilberto - Comacchio;29;01/01/19 07:26;303;Benaco - Brembo;30;0:06:43;1018.38;0.2065;19.62
2253;Bike;268945;01/01/19 07:22;115;Caiazzo;25;01/01/19 07:29;213;Novelli - Carnaghi;22;0:07:04;2015.42;0.4087;38.82
20972;Bike;258180;01/01/19 07:26;3;Cadorna 1;5;01/01/19 07:36;69;S. Nazaro in Brolo;13;0:09:41;2161.06;0.4383;41.63
11345;eBike;357772;01/01/19 07:32;124;Porta Venezia 2;25;01/01/19 07:42;14;San Barnaba H Mangiagalli;1;0:09:48;1859.56;0.3771;35.82
8179;Bike;35909;01/01/19 07:42;180;Canova - Sangiorgio;27;01/01/19 07:54;69;S. Nazaro in Brolo;20;0:12:29;3290.21;0.6673;63.38
21967;Bike;354609;01/01/19 07:43;196;Lagosta;29;01/01/19 07:59;315;Ospedale Maggiore;2;0:15:42;2144.11;0.4348;41.30
1152;Bike;54371;01/01/19 07:52;114;Buenos Aires - Argentina;26;01/01/19 07:57;118;VIII novembre - Ramazzini;32;0:05:30;1057.36;0.2144;20.37
2742;Bike;355585;01/01/19 07:59;14;San Barnaba H Mangiagalli;19;01/01/19 08:16;39;XXV Aprile;21;0:16:21;2619.11;0.5312;50.45